date,event_id,tournament,category,surface,player1,player2,start_ts,odds_p1,odds_p2
2025-08-29,14559626,ITF M25 Trelew Men Doubles,ITF Men,Hard,Bancalari A / Villalon Valdes N,Bruna N / Salvo M M,1756386000,1.9,1.9
2025-08-29,14551775,ITF M25 Trelew Men Doubles,ITF Men,Hard,Banerjee S / Schachter N,Del Pino M / La Serna J M,1756377000,1.9,1.9
2025-08-29,14559627,ITF M25 Trelew Men Doubles,ITF Men,Hard,Basel V / Ribero F,Fernandez B / Kirchheimer S,1756390500,1.9,1.9
2025-08-29,14561170,ITF M25 Trelew Men Doubles,ITF Men,Hard,Bancalari A / Villalon N,Bruna N / Salvo M M,1756406700,1.9,1.9
2025-08-29,14559629,ITF M25 Trelew Men Doubles,ITF Men,Hard,Casanova H / Zarate C M,de la Fuente S / Falabella L A,1756407600,1.9,1.9
2025-08-29,14558857,ITF W15 Ankara 2 Women Doubles,ITF Women,Hard,Anane S / Saner J,Herazo Gonzalez M / Zaparyniuk A,1756380600,1.9,1.9
2025-08-29,14558858,ITF W15 Ankara 2 Women Doubles,ITF Women,Hard,Atay S / Lachinova A,Mdlulwa W / Mdlulwa W,1756383300,1.9,1.9
2025-08-29,14558859,ITF W15 Ankara 2 Women Doubles,ITF Women,Hard,Easwaramurthi A / Khayndrava I,Evtimova D / Vaissaud D,1756390500,1.9,1.9
2025-08-29,14558860,ITF W15 Ankara 2 Women Doubles,ITF Women,Hard,Golovina M / Kuzmova K,Aydemir D / Farzami M,1756392300,1.9,1.9
2025-08-29,14558907,ITF W15 Kaltenkirchen Women Doubles,ITF Women,Hard,Coppez K / Gadamauri T,Mettraux M / Petretic L,1756389600,1.9,1.9
2025-08-29,14558908,ITF W15 Kaltenkirchen Women Doubles,ITF Women,Hard,Petkovic A / Pribylova A,Brockmann T / Preugschat P,1756392300,1.9,1.9
2025-08-29,14558879,ITF W15 Monastir 33 Women Doubles,ITF Women,Hard,John-Baptiste L / Milovanovic E,Kashyap H / Zaremba M,1756379700,1.9,1.9
2025-08-29,14558881,ITF W15 Monastir 33 Women Doubles,ITF Women,Hard,McBride J / Poling L,Mihail D M / Verster N,1756383300,1.9,1.9
2025-08-29,14558882,ITF W15 Monastir 33 Women Doubles,ITF Women,Hard,Rassil R / Tahiri M,Odorizzi C / Osterreicher M,1756386900,1.9,1.9
2025-08-29,14558880,ITF W15 Monastir 33 Women Doubles,ITF Women,Hard,Soussi L / Van Poppel E,Bosman C / Veldman K,1756394100,1.9,1.9
2025-08-29,14558824,ITF W35 Trieste Women Doubles,ITF Women,Hard,Basiletti N / Maduzzi G,De Stefano S / Mazzola A,1756454400,1.9,1.9
2025-08-29,14558825,ITF W35 Trieste Women Doubles,ITF Women,Hard,Corvi A / Ruggeri J,Alvisi E / Chiesa E,1756449000,1.9,1.9
2025-08-29,14558827,ITF W35 Verbier 2 Women Doubles,ITF Women,Hard,Dencheva R / Stankiewicz M,Lemaitre T / Smith T N,1756454400,1.9,1.9
2025-08-29,14558828,ITF W35 Verbier 2 Women Doubles,ITF Women,Hard,Grammatikopoulou V / Marcinkevica D,Vogt M / Voracek E M,1756454400,1.9,1.9
2025-08-29,14558806,ITF W50 Bytom Women Doubles,ITF Women,Hard,Feistel G / Hindova D,Gamiz A / Vedder E,1756372500,1.9,1.9
2025-08-29,14558795,ITF W50 Bytom Women Doubles,ITF Women,Hard,Cortez Llorca L / Zavatska K,Brune A / Firman A,1756391400,1.9,1.9
2025-08-29,14558818,ITF W50 Oldenzaal Women Doubles,ITF Women,Hard,Daems J / Schmidt A,Noha Akugue N / Oz I,1756397700,1.9,1.9
2025-08-29,14558819,ITF W50 Oldenzaal Women Doubles,ITF Women,Hard,Ebeling Koning L / Van Den Broek I,Kazionova E / Tikhonova A,1756394100,1.9,1.9
2025-08-29,14512827,"UTR PTT Bali Men +H 02, Group A",UTR Men,Hard,Alexander Klintcharov,Tegar Abdi Satrio Wibowo,1756436100,1.9,1.9
2025-08-29,14512856,"UTR PTT Bali Men +H 02, Group A",UTR Men,Hard,Rodion Malmygin,Stefan Menichella,1756434300,1.9,1.9
2025-08-29,14512960,"UTR PTT Bali Men +H 02, Group B",UTR Men,Hard,Eric Tripathi,Renaldi Aqila A Salim,1756430100,1.9,1.9
2025-08-29,14512955,"UTR PTT Bali Men +H 02, Group B",UTR Men,Hard,Stefan Storch,Anthony Susanto,1756427400,1.9,1.9
2025-08-29,14512964,"UTR PTT Bali Men +H 02, Group C",UTR Men,Hard,Diogo Morais,Maan Kesharwani,1756443300,1.9,1.9
2025-08-29,14512983,"UTR PTT Bali Men +H 02, Group C",UTR Men,Hard,Vadym Konovchuk,Yash Yadav,1756447800,1.9,1.9
2025-08-29,14512968,"UTR PTT Bali Men +H 02, Group D",UTR Men,Hard,Cian Maguire,Ajay Malik,1756451700,1.9,1.9
2025-08-29,14512966,"UTR PTT Bali Men +H 02, Group D",UTR Men,Hard,Joao Graca,Patricio Alvarado,1756446300,1.9,1.9
2025-08-29,14520559,"UTR PTT Boise Men 02, Group A",UTR Men,Hard,Karl Poling,Julius Seifert,1756408500,1.9,1.9
2025-08-29,14520555,"UTR PTT Boise Men 02, Group A",UTR Men,Hard,Liam Spiers,Lukas Velik,1756411800,1.9,1.9
2025-08-29,14520539,"UTR PTT Boise Men 02, Group A",UTR Men,Hard,Adam Duda,Julius Seifert,1756488600,1.9,1.9
2025-08-29,14520529,"UTR PTT Boise Men 02, Group A",UTR Men,Hard,Karl Poling,Lukas Velik,1756480500,1.9,1.9
2025-08-29,14520531,"UTR PTT Boise Men 02, Group B",UTR Men,Hard,Tannor Binder,Theo Coats,1756405800,1.9,1.9
2025-08-29,14520558,"UTR PTT Boise Men 02, Group B",UTR Men,Hard,Andre Alcantara,Taiyo Kurata,1756401000,1.9,1.9
2025-08-29,14520534,"UTR PTT Boise Men 02, Group B",UTR Men,Hard,Filip Soderqvist,Theo Coats,1756492200,1.9,1.9
2025-08-29,14520547,"UTR PTT Boise Men 02, Group B",UTR Men,Hard,Tannor Binder,Taiyo Kurata,1756476000,1.9,1.9
2025-08-29,14520548,"UTR PTT Boise Men 02, Group C",UTR Men,Hard,Idriss Haddouch,Avery Tallakson,1756406700,1.9,1.9
2025-08-29,14520536,"UTR PTT Boise Men 02, Group C",UTR Men,Hard,John Chin,Ryoma Mishiro,1756404600,1.9,1.9
2025-08-29,14520523,"UTR PTT Boise Men 02, Group C",UTR Men,Hard,Idriss Haddouch,Ryoma Mishiro,1756484100,1.9,1.9
2025-08-29,14520524,"UTR PTT Boise Men 02, Group C",UTR Men,Hard,Vincent Yang,Avery Tallakson,1756474200,1.9,1.9
2025-08-29,14520533,"UTR PTT Boise Men 02, Group D",UTR Men,Hard,Dylan Charlap,Stewart Aronson,1756393200,1.9,1.9
2025-08-29,14540724,"UTR PTT Boise Men 02, Group D",UTR Men,Hard,Samuel Rovai,Brayden Tallakson,1756392000,1.9,1.9
2025-08-29,14520541,"UTR PTT Boise Men 02, Group D",UTR Men,Hard,Carson Baker,Stewart Aronson,1756491300,1.9,1.9
2025-08-29,14540721,"UTR PTT Boise Men 02, Group D",UTR Men,Hard,Dylan Charlap,Brayden Tallakson,1756492200,1.9,1.9
2025-08-29,14560196,"UTR PTT Gold Coast Men 02, 1-4 Playoff",UTR Men,Hard,Matthew Burton,Zane Stevens,1756417500,1.9,1.9
2025-08-29,14560195,"UTR PTT Gold Coast Men 02, 1-4 Playoff",UTR Men,Hard,Scott Jones,Noah Brownrigg,1756418100,1.9,1.9
2025-08-29,14560291,"UTR PTT Gold Coast Men 02, 5-8 Playoff",UTR Men,Hard,Lachlan McFadzean,Chase Zhao,1756435200,1.9,1.9
2025-08-29,14560290,"UTR PTT Gold Coast Men 02, 5-8 Playoff",UTR Men,Hard,Sam Oster,Zachary Adam-Gedge,1756429200,1.9,1.9
2025-08-29,14560376,"UTR PTT Gold Coast Men 02, 9-12 Playoff",UTR Men,Hard,Cameron Burton,Cade Birrell,1756425600,1.9,1.9
2025-08-29,14560289,"UTR PTT Gold Coast Men 02, 9-12 Playoff",UTR Men,Hard,Tomislav Edward Papac,Alexey Shtengelov,1756425600,1.9,1.9
2025-08-29,14560292,"UTR PTT Gold Coast Men 02, 13-16 Playoff",UTR Men,Hard,Haruto Ishikawa,Kye Bennett,1756347000,1.9,1.9
2025-08-29,14560350,"UTR PTT Gold Coast Men 02, 13-16 Playoff",UTR Men,Hard,Ethan Connelly,Kuma Ito,1756426500,1.9,1.9
2025-08-29,14518490,"UTR PTT Knoxville Men 03, Group A",UTR Men,Hard,Ashton Adesoro,Murilo Antunes Burckhardt,1756402800,1.9,1.9
2025-08-29,14550141,"UTR PTT Knoxville Men 03, Group A",UTR Men,Hard,Alexander Kotzen,Piotr Siekanowicz,1756395000,1.9,1.9
2025-08-29,14518502,"UTR PTT Knoxville Men 03, Group A",UTR Men,Hard,Alejandro Moreno,Murilo Antunes Burckhardt,1756470600,1.9,1.9
