date,event_id,tournament,category,surface,home,away,start_ts
2025-08-29,14494891,"US Open, New York, USA",ATP,,Adam Walton,Coleman Wong,1756391400
2025-08-29,14494890,"US Open, New York, USA",ATP,,Lorenzo Musetti,David Goffin,1756394100
2025-08-29,14494898,"US Open, New York, USA",ATP,,Tristan Boyer,Andrey Rublev,1756399500
2025-08-29,14494887,"US Open, New York, USA",ATP,,Zizou Bergs,Jack Draper,1756386000
2025-08-29,14494886,"US Open, New York, USA",ATP,,Jenson Brooksby,Flavio Cobolli,1756390200
2025-08-29,14494880,"US Open, New York, USA",ATP,,Karen Khachanov,Kamil Majchrzak,1756404600
2025-08-29,14494884,"US Open, New York, USA",ATP,,Leandro Riedi,Francisco Cerundolo,1756388400
2025-08-29,14494885,"US Open, New York, USA",ATP,,Valentin Royer,Denis Shapovalov,1756390200
2025-08-29,14494893,"US Open, New York, USA",ATP,,Jannik Sinner,Alexei Popyrin,1756406400
2025-08-29,14494899,"US Open, New York, USA",ATP,,Gabriel Diallo,Jaume Munar,1756402500
2025-08-29,14494888,"US Open, New York, USA",ATP,,Alexander Bublik,Tristan Schoolkate,1756403100
2025-08-29,14494881,"US Open, New York, USA",ATP,,Roman Safiullin,Felix Auger-Aliassime,1756414800
2025-08-29,14494892,"US Open, New York, USA",ATP,,Stefanos Tsitsipas,Daniel Altmaier,1756405500
2025-08-29,14494897,"US Open, New York, USA",ATP,,Shintaro Mochizuki,Alex de Minaur,1756410300
2025-08-29,14494883,"US Open, New York, USA",ATP,,Alexander Zverev,Jacob Fearnley,1756413900
2025-08-29,14494895,"US Open, New York, USA",ATP,,Nuno Borges,Tommy Paul,1756423500
2025-08-29,14494910,"US Open, New York, USA",ATP,,Ben Shelton,Adrian Mannarino,1756473300
2025-08-29,14494912,"US Open, New York, USA",ATP,,Benjamin Bonzi,Arthur Rinderknech,1756475100
2025-08-29,14494914,"US Open, New York, USA",ATP,,Frances Tiafoe,Jan-Lennard Struff,1756485900
2025-08-29,14494911,"US Open, New York, USA",ATP,,Jerome Kym,Taylor Fritz,1756475100
2025-08-29,14494916,"US Open, New York, USA",ATP,,Jiri Lehecka,Raphael Collignon,1756479600
2025-08-29,14494941,"US Open, New York, USA",ATP,,Luciano Darderi,Carlos Alcaraz,1756485000
2025-08-29,14494921,"US Open, New York, USA",ATP,,Novak Djokovic,Cameron Norrie,1756472400
2025-08-29,14494920,"US Open, New York, USA",ATP,,Ugo Blanchet,Tomas Machac,1756478700
2025-08-29,14494990,"US Open, New York, USA",WTA,,Anna Kalinskaya,Yulia Putintseva,1756402200
2025-08-29,14494982,"US Open, New York, USA",WTA,,Beatriz Haddad Maia,Viktorija Golubic,1756400400
2025-08-29,14495028,"US Open, New York, USA",WTA,,Ekaterina Alexandrova,Xinyu Wang,1756393200
2025-08-29,14494980,"US Open, New York, USA",WTA,,Linda Noskova,Eva Lys,1756395900
2025-08-29,14494971,"US Open, New York, USA",WTA,,Maria Sakkari,Anna Bondar,1756397700
2025-08-29,14494981,"US Open, New York, USA",WTA,,Suzan Lamens,Iga Swiatek,1756390500
2025-08-29,14494995,"US Open, New York, USA",WTA,,Zeynep Sonmez,Marta Kostyuk,1756401000
2025-08-29,14494986,"US Open, New York, USA",WTA,,Magdalena Frech,Peyton Stearns,1756389600
2025-08-29,14494976,"US Open, New York, USA",WTA,,Anastasia Zakharova,Laura Siegemund,1756396500
2025-08-29,14495030,"US Open, New York, USA",WTA,,Hailey Baptiste,Naomi Osaka,1756406400
2025-08-29,14494973,"US Open, New York, USA",WTA,,Sorana Cirstea,Karolina Muchova,1756393800
2025-08-29,14495031,"US Open, New York, USA",WTA,,Daria Kasatkina,Kamilla Rakhimova,1756403400
2025-08-29,14494974,"US Open, New York, USA",WTA,,Jaqueline Cristian,Ashlyn Krueger,1756400700
2025-08-29,14494977,"US Open, New York, USA",WTA,,Renata Zarazua,Diane Parry,1756406100
2025-08-29,14494972,"US Open, New York, USA",WTA,,Donna Vekić,Coco Gauff,1756423800
2025-08-29,14494970,"US Open, New York, USA",WTA,,Amanda Anisimova,Maya Joint,1756428000
2025-08-29,14494993,"US Open, New York, USA",WTA,,Aryna Sabalenka,Leylah Fernandez,1756485900
2025-08-29,14494991,"US Open, New York, USA",WTA,,Elena Rybakina,Emma Raducanu,1756476000
2025-08-29,14494997,"US Open, New York, USA",WTA,,Elise Mertens,Cristina Bucsa,1756487700
2025-08-29,14494985,"US Open, New York, USA",WTA,,Emma Navarro,Barbora Krejcikova,1756486800
2025-08-29,14494988,"US Open, New York, USA",WTA,,Jessica Pegula,Victoria Azarenka,1756476900
2025-08-29,14494992,"US Open, New York, USA",WTA,,Marketa Vondrousova,Jasmine Paolini,1756480500
2025-08-29,14494983,"US Open, New York, USA",WTA,,Priscilla Hon,Ann Li,1756472400
2025-08-29,14494987,"US Open, New York, USA",WTA,,Taylor Townsend,Mirra Andreeva,1756476900
2025-08-29,14560210,"US Open, New York, USA, Doubles",ATP,,Andreozzi G / Guinard M,Mektić N / Ram R,1756479600
2025-08-29,14560223,"US Open, New York, USA, Doubles",ATP,,Arneodo R / Bopanna R,Cash R / Tracy J,1756480500
2025-08-29,14560203,"US Open, New York, USA, Doubles",ATP,,Balaji N S / Bollipalli R C,Kirkov V / Stevens B,1756471500
2025-08-29,14560218,"US Open, New York, USA, Doubles",ATP,,Bellucci M / Marozsan F,Arends S / Johnson L,1756476000
2025-08-29,14560209,"US Open, New York, USA, Doubles",ATP,,Bhambri Y / Venus M,Giron M / Tien L,1756483200
2025-08-29,14560208,"US Open, New York, USA, Doubles",ATP,,Borges N / Rinderknech A,Holt B / Smith C,1756482300
2025-08-29,14560212,"US Open, New York, USA, Doubles",ATP,,Bublik A / Demoliner M,Romboli F / Smith J-P,1756484100
2025-08-29,14560217,"US Open, New York, USA, Doubles",ATP,,Cabral F / Miedler L,Barrientos N / Lammons N,1756486800
2025-08-29,14560229,"US Open, New York, USA, Doubles",ATP,,Cash J / Glasspool L,Erler A / Galloway R,1756476900
2025-08-29,14560201,"US Open, New York, USA, Doubles",ATP,,Ebden M / Thompson J,Cerundolo F / Gomez F.,1756474200
2025-08-29,14560219,"US Open, New York, USA, Doubles",ATP,,Etcheverry T / Ugo Carabelli C,Dzumhur D / Kovacevic A,1756479600
2025-08-29,14560228,"US Open, New York, USA, Doubles",ATP,,Fearnley J / Majchrzak K,Schnaitter J / Wallner M,1756486800
2025-08-29,14560204,"US Open, New York, USA, Doubles",ATP,,Goffin D / Muller A,Exsted M / Woestendick C,1756485900
2025-08-29,14560225,"US Open, New York, USA, Doubles",ATP,,Gonzalez M / Molteni A,Gonzalez S / Krajicek A,1756470600
2025-08-29,14560226,"US Open, New York, USA, Doubles",ATP,,Goransson A / Verbeek S,Doumbia S / Reboul F,1756471500
2025-08-29,14560213,"US Open, New York, USA, Doubles",ATP,,Harrison C / King E,Altmaier D / Martinez L,1756477800
2025-08-29,14560221,"US Open, New York, USA, Doubles",ATP,,Heliovaara H / Patten H,Frantzen C / Haase R,1756485900
2025-08-29,14560198,"US Open, New York, USA, Doubles",ATP,,Hidalgo D / Kadhe A,Arevalo M / Pavic M,1756481400
2025-08-29,14560202,"US Open, New York, USA, Doubles",ATP,,Hijikata R / Pel D,Nys H / Roger-Vasselin E,1756472400
2025-08-29,14560211,"US Open, New York, USA, Doubles",ATP,,Ho R / Jebens H,Boyer T / Nava E,1756481400
2025-08-29,14560214,"US Open, New York, USA, Doubles",ATP,,Kecmanovic M / Medjedovic H,Granollers M / Zeballos H,1756478700
2025-08-29,14560220,"US Open, New York, USA, Doubles",ATP,,Luz O / Olivetti A,Mannarino A / Ruusuvuori E,1756486800
2025-08-29,14560206,"US Open, New York, USA, Doubles",ATP,,Mahut N / Mpetshi Perricard G,Krawietz K / Puetz T,1756477800
2025-08-29,14560222,"US Open, New York, USA, Doubles",ATP,,Martínez P / Munar J,Bolelli S / Vavassori A,1756479600
2025-08-29,14560227,"US Open, New York, USA, Doubles",ATP,,Matos R / Melo M,Dodig I / Murray J,1756474200
2025-08-29,14560215,"US Open, New York, USA, Doubles",ATP,,Mcdonald M / Quinn E,Hilderbrand T / Trhac P,1756478700
2025-08-29,14560216,"US Open, New York, USA, Doubles",ATP,,Pavlasek A / Zielinski J,Behar A / Vliegen J,1756484100
2025-08-29,14560200,"US Open, New York, USA, Doubles",ATP,,Peers J / Withrow J,Bergs Z / Collignon R,1756479600
2025-08-29,14560199,"US Open, New York, USA, Doubles",ATP,,Romios M C / Seggerman R,Machac T / Vocel M,1756477800
2025-08-29,14560205,"US Open, New York, USA, Doubles",ATP,,Salisbury J / Skupski N,Goldhoff G / Stalder R,1756476900
2025-08-29,14560224,"US Open, New York, USA, Doubles",ATP,,T. Arribage / B. Bonzi,Darderi L / Schoolkate T,1756483200
